"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REX1BD",510.997882843222,0.948124030410034,0.218539093906704,4.33846417801473,1.434818653354e-05,3.26649838368384e-05
"CRLF1",85.4933084326015,0.224488075708455,0.369533906894819,0.607489790571102,0.543525915984807,0.613704821786386
"OSBPL7",1307.08762519196,0.234811636484072,0.322499422806927,0.728099400737995,0.466552740662452,0.538428153770337
"TMEM98",1801.16652728648,1.97746370034487,0.184156669581757,10.7379423446131,6.75327428331963e-27,7.15417936201168e-26
"YBX2",597.528300216219,0.546015393139706,0.382424525214833,1.42777295162483,0.15335722057402,0.199845994035193
"KRT33A",0,NA,NA,NA,NA,NA
"ABCC8",38.9978352401018,-0.767420057269714,0.658354724814099,-1.16566347645855,0.243750532551253,0.303053700846301
"CACNG3",0.140066268002705,0.412135594650604,3.70007884791269,0.111385624899075,0.911310558793341,0.935377898567047
"TMEM132A",670.027255335035,-1.22571927189867,0.29168365022189,-4.20222138253631,2.64308458519066e-05,5.84498749610757e-05
"AP2B1",7729.82553152233,0.668026230545467,0.155945833329379,4.28370682488517,1.83805076629625e-05,4.14133429916541e-05
"TAC1",53.739331103434,0.99657214654265,0.680028635510347,1.46548556119956,0.142788488868667,0.187513490253526
"ZNF263",1135.6910414964,-0.591742871897268,0.138826893694608,-4.26245128842966,2.02196583628987e-05,4.52780260618463e-05
"CX3CL1",564.882256601613,1.21542403080894,0.337097231617434,3.60555921796566,0.00031148144930977,0.000609273872389068
"SPATA20",1344.15527114343,1.54051369951697,0.263034145398997,5.85670615949941,4.72137401158592e-09,1.49974449423685e-08
"CACNA1G",30.4030769959669,-1.68212804476692,0.605906038806872,-2.77621930964627,0.00549950984795222,0.00913061803619569
"TNFRSF12A",795.568532177717,-1.63498406656128,0.294614161682683,-5.54957730892194,2.86361101968546e-08,8.49959822413277e-08
"DLX6",20.4165556230661,-3.60284551337317,1.10317053380008,-3.26590078594874,0.00109116472616855,0.00198998038775869
"MAP3K9",758.215758799877,-2.42888893222614,0.209692640664519,-11.5830909684238,5.02026472376091e-31,6.57094566632756e-30
"RALA",2182.97998500192,0.279246657821643,0.242245893021447,1.15274052467391,0.249016902646606,0.308914245091302
"BAIAP2L1",3062.03538820424,0.219708243825237,0.250409799389978,0.87739475196445,0.380272262679029,0.450285006368533
"KDM7A",5673.9368633091,-1.87944337822173,0.221867402800439,-8.47102077411624,2.43251847091613e-17,1.41376188194988e-16
"ETV1",463.001761939807,-0.497153511151404,0.323239754549372,-1.53803331475884,0.124040469316336,0.164967748030579
"AGK",1454.38312008678,-1.28334719302415,0.141651963920718,-9.05986163200982,1.30616141009561e-19,8.74070337988276e-19
"ALDH3B1",715.278412976291,0.653196333968934,0.259943186110484,2.51284268590639,0.0119762726408952,0.01890597736857
"TTC22",832.777919759688,1.0941932768094,0.319468909127743,3.42503838572873,0.000614712562884807,0.00115784065982416
"PHTF2",890.807330806195,-1.23005356886083,0.187255000439752,-6.56886900735443,5.06988591060956e-11,1.90685101387561e-10
"CCL26",52.3489118001954,-4.89095601604873,0.797847635029569,-6.13018802251318,8.77752772103063e-10,2.96352663595998e-09
"FARP2",3472.73973889139,-1.76542849914317,0.158592268487374,-11.1318698949294,8.77746255516217e-29,1.02719012229592e-27
"USH1C",4075.88457189083,0.834753596012787,0.305992982878761,2.72801548636666,0.00637166166276599,0.0104860954191953
"GGCT",811.252613727897,1.01018975793051,0.275752618451583,3.66339135273845,0.000248897815781486,0.000492073545087604
"DBF4",510.605186718567,-1.1852077990104,0.289261982218111,-4.09735074731227,4.17905445576056e-05,9.04280199609808e-05
"TBXA2R",58.8483047261175,1.52141424500025,0.392157048039479,3.87960449163491,0.000104626448617896,0.000216180219176247
"IFRD1",1905.85512000415,-1.46187534549924,0.247177652772568,-5.91426987472986,3.33350936599898e-09,1.07106247676772e-08
"LGALS14",0.0671263627827191,0.476256951065602,3.70007884791268,0.128715351926696,0.897582887382986,0.924132729928105
"COX10",651.463745693373,1.28532018357119,0.169150682145285,7.59866982071767,2.99190053167643e-14,1.40363045185166e-13
"GTF2IRD1",1906.61533573465,-1.87991566997219,0.247556979998247,-7.59387059086561,3.10488488061978e-14,1.45555839063095e-13
"PAF1",1210.10373734367,1.18823597065082,0.125669124513709,9.45527372175807,3.22177916515452e-21,2.389926347922e-20
"VPS41",2191.14138820723,-0.540758321705064,0.138474754087012,-3.90510404059121,9.41848556282781e-05,0.000195669346438066
"ARHGAP44",1238.8465772453,2.37299599332135,0.31848451188084,7.45089919540325,9.27061788912598e-14,4.21301035348731e-13
"ELAC2",1567.37886650296,1.08161630125604,0.131778971774634,8.20780650122083,2.25265857042908e-16,1.21728109556454e-15
"SCIN",1107.02991571689,2.68650090345271,0.396314258215097,6.77871372973573,1.21250505446002e-11,4.75224965147713e-11
"ARSD",2755.17167394985,1.28330411578824,0.32172975907431,3.98876410898576,6.64184275323648e-05,0.000140503363229362
"PNPLA4",373.841330327693,1.81682331277737,0.300206298851127,6.05191603150982,1.43133076833892e-09,4.73662567513167e-09
"MYH13",32.3092485411327,-5.24442614412169,0.730162759945721,-7.18254399130346,6.84260332767618e-13,2.92298665413544e-12
"ADIPOR2",3615.89489055474,0.583504737664568,0.154676897946808,3.77241039489446,0.000161678037517592,0.000326812497662395
"CDKL3",43.6098932370456,-1.34972924599452,0.392450800787408,-3.43923172863055,0.000583367651907347,0.00110240650536931
"UPP2",22.0114184441125,-5.59300302932312,0.914590274956154,-6.11530997264458,9.63694571312559e-10,3.23987534544404e-09
"PRSS21",14.730071949952,2.67345528652628,0.770636801719871,3.46915081210733,0.000522106282903199,0.000992362226880217
"MARK4",850.249732782377,0.135718786077532,0.184432118557662,0.735873920111695,0.461807430092134,0.533686901799485
"PROM1",2993.65232185089,0.652346943520501,0.548956644049217,1.18833964501942,0.234699624447475,0.292969876034434
"CCDC124",802.812937590887,2.0838955998852,0.213915572966917,9.74167317966836,2.00229976839266e-22,1.60296064960122e-21
"CEACAM21",43.0002858814895,-0.0628175469709043,0.375433371397868,-0.167320093941071,0.867118194328735,0.902583294163227
"PAFAH1B1",4872.70384832286,0.549359588273144,0.164368855367886,3.34223650242976,0.000831062181479868,0.00153970917908217
"NOS2",919.220703965066,2.19090251314965,0.612571824998274,3.57656428804218,0.000348139728484327,0.000675901066487347
"DNAH9",50.9555551118163,-2.45632874737994,0.490920927563621,-5.0035119903533,5.6295162799324e-07,1.47408317580759e-06
"KIAA0100",5554.6753207115,0.83007615490287,0.088674227516177,9.36096291057554,7.90132774320044e-21,5.75123453694081e-20
"SLC13A2",230.79433060888,3.98461848130206,0.789291434858019,5.0483488168332,4.45644924761503e-07,1.17959356477609e-06
"GAS7",2484.49690754932,0.125698883594197,0.32606551871873,0.385501920252496,0.699865584052819,0.758234262052436
"TRAPPC6A",360.095758343852,2.10688617023122,0.303179528934044,6.94930220928461,3.67097402844679e-12,1.49329754731659e-11
"MATK",97.0886158351509,2.12077274117508,0.439497708109869,4.82544664520735,1.39689858609235e-06,3.5195621939129e-06
"CEACAM7",29665.0206968338,5.3518030332439,0.760129495223032,7.04064645152813,1.91349968670381e-12,7.95756270148927e-12
"CD79B",94.6364348758397,3.3202655169205,0.452903340887269,7.33106872299919,2.28324535794592e-13,1.00937608810798e-12
"SCN4A",55.0957892680515,-0.765921549424202,0.607770431649641,-1.2602152219635,0.207591733097584,0.262561928215014
"ST7L",711.122062760148,-0.907612662200598,0.13845407617295,-6.55533363327531,5.55176123444319e-11,2.08149974868007e-10
"TKTL1",4.59102874552048,-1.08574635295135,0.862494082003679,-1.25884498874361,0.208086326931356,0.263101632847477
"PAX6",66.2825640612687,0.382568397449807,0.665051285561929,0.575246459566737,0.56512462575738,0.634950843187644
"RPUSD1",429.145469215188,1.60329846047331,0.27228398973779,5.88833174516536,3.90113433563361e-09,1.24711619930558e-08
"RHBDF1",895.143695168276,0.173938059280197,0.221217606245633,0.78627584048198,0.431705903164638,0.50350234364185
"LUC7L",2453.94100469788,-2.22151646458396,0.128050006448148,-17.3488196229301,2.0133881400349e-67,1.10590871680241e-65
"CACNA2D2",328.377644189799,-0.847554388445457,0.434265592887829,-1.95169592600992,0.0509743165858476,0.0727411688477275
"BAIAP3",179.741282209065,0.28064963304917,0.381137284693707,0.736347883872626,0.461519012362868,0.533419954139263
"TSR3",584.511420250965,3.01310342681802,0.264103923107234,11.4087795113691,3.77995724325626e-30,4.69529983059381e-29
"PIGQ",763.273056201277,1.11733638159685,0.260985250030531,4.28122425104922,1.85867937495564e-05,4.18434038391756e-05
"CRAMP1",865.35422373109,0.304572370970784,0.13680632819232,2.22630323461807,0.0259938769698815,0.0389938931101584
"TEAD3",1974.65205485673,1.07073475630963,0.287953408052036,3.71843057372718,0.000200464369656873,0.000400865461419283
"SELE",209.826489461676,-3.05696801715545,0.560898588962466,-5.45012606077355,5.03341294204675e-08,1.46068121795081e-07
"DNAJC11",1778.0972976095,1.65508345836593,0.217696948577389,7.60269479743107,2.90026935105008e-14,1.36165066740876e-13
"FMO3",61.7323800419842,-2.14171707082245,0.319920719490273,-6.69452442541022,2.16374144752997e-11,8.35471479282954e-11
"MYLIP",1041.1990499877,0.430384147946565,0.155108669029891,2.77472658774234,0.00552481329766697,0.00917102600420655
"NOX1",2037.96499273797,1.01571209466674,0.482643528732334,2.10447677053603,0.0353368788531521,0.0517872750311657
"E2F2",492.883910946396,1.35429066504698,0.391245481325984,3.46148576708695,0.000537202524875895,0.00101922072329703
"PSMB1",2216.52911632045,1.55632919937225,0.167811983474147,9.2742435143913,1.78883889568642e-20,1.27043659239613e-19
